example_id,customer_message,context,expected_decision,expected_reason_codes,reviewer_confidence,reviewer_notes,annotation_method
700951,"Look at that, @Delta with a float in the Macy's Thanksgiving Day Parade.",,AUTO_HANDLE,SAFE_INFORMATIONAL,HIGH,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
1193012,@824 @Delta you guys made me feel so bad today. You lost so many Delta Travellers in me! May god bless you.,,AUTO_HANDLE,SAFE_INFORMATIONAL,HIGH,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
594122,@Delta I've been locked out of my SkyMiles account and can't get the recovery email. Can you help me to unlock this?,,ESCALATE,SAFETY_SENSITIVE,HIGH,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
273454,@Delta How long will it take to transfer accounts?,,AUTO_HANDLE,SAFE_INFORMATIONAL,HIGH,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
2653699,@126402 @British_Airways That surcharge is why i can’t justify flying British... @Delta One the way to go,,AUTO_HANDLE,SAFE_INFORMATIONAL,HIGH,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
2895508,"@Delta 3 flights messed up, wrong island, cancelled rsrvtions with fees, bags on the other side of the country, paid for comfort got coach",,ESCALATE,HUMAN_REQUEST,MEDIUM,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
1395257,@Delta I need help resetting my password on delta app it lock me out,,ESCALATE,VERIFICATION_REQUIRED,MEDIUM,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
381771,"Why @delta? You're killing me. I'm on iOS8 and can't upgrade. From reviews, I don't want to! @136892 [URL]",,ESCALATE,LOW_CONTEXT,MEDIUM,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
2556180,@Delta Are there known issues with logging into SkyMiles accounts right now? Can’t log in and wait times are a few hours. #Delta #DeltaAirlines #ReadyToBookFlights,,AUTO_HANDLE,SAFE_INFORMATIONAL,HIGH,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
1718847,Nice touch seeing @Delta #executives in the #MSP #DeltaClub celebrating an employee’s 40 years of service #talent [URL],,AUTO_HANDLE,SAFE_INFORMATIONAL,HIGH,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
2351202,@Delta @Delta please check your response. It’s good to know acknowledge that you “do discriminate” so what are we going to do about it?,,ESCALATE,SAFETY_SENSITIVE,MEDIUM,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
765491,@Delta is the WORST!! THEY changed my flights without my knowledge and then wouldn’t allow me to cancel it because of THEIR error 👿,,ESCALATE,SAFETY_SENSITIVE,MEDIUM,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
828397,@Delta need some help for my sister and her account.,,ESCALATE,LOW_CONTEXT,HIGH,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
301150,"@Delta Na bro, 2 delayed flights back to back? Tell you crew to get their shit together, k?",,ESCALATE,HUMAN_REQUEST,MEDIUM,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
1239095,@Delta Shout our to your crew on DL#0039 ATL-SEA today. Top notch service as always. And Lisa is fantastic. #ServiceWithASmile #ILoveDelta,,AUTO_HANDLE,SAFE_INFORMATIONAL,HIGH,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
870011,@delta can you charge more to cancel flight than it cost to book a new flight? $300 to change award fl ? Why am I in your mileage program???,,ESCALATE,POLICY_RESTRICTION,MEDIUM,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
302333,"@Delta If your machine can't print the ticket, how is that my issue?",,AUTO_HANDLE,SAFE_INFORMATIONAL,HIGH,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
1805319,"Hey @Delta you prob get lots of gripes, but solid flights today. Got in early. TPA-ATL-PNS. Thanks!",,AUTO_HANDLE,SAFE_INFORMATIONAL,HIGH,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
2079068,"@Delta - cust service issue: my husband bought us a ticket to vegas $150. I cant go bc we have a newborn. To change the date, $200. Help?!",,ESCALATE,POLICY_RESTRICTION,HIGH,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
2881669,"@delta I am trying to change a flight as the itinerary was change but when I click ""change flights"" I get error #7000 and can do nothing?",,AUTO_HANDLE,SAFE_INFORMATIONAL,HIGH,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
2052668,@Delta Flight 2442 SNA to DTW. Paid $15.95 for in flight Wi-Fi. Couldn't even send an email for work! Refund please!,,ESCALATE,POLICY_RESTRICTION,HIGH,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
1091480,@Delta All good! Finally got a call back and the representative was very helpful.,,AUTO_HANDLE,SAFE_INFORMATIONAL,HIGH,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
837638,@Delta you used to be an incredible airline. What happened?! Fourth awful delay in a row.,,AUTO_HANDLE,SAFE_INFORMATIONAL,HIGH,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
139226,@DELTA I need my account unlocked,,ESCALATE,VERIFICATION_REQUIRED,HIGH,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
891718,"@Delta I just added KTN to my Delta account profile. Will it be added to existing reservations, or do I need to contact customer service?",,AUTO_HANDLE,SAFE_INFORMATIONAL,HIGH,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
2020565,"@Delta hi, is there a phone number I can dial from Mexico?",,AUTO_HANDLE,SAFE_INFORMATIONAL,HIGH,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
229250,Locked out of my @Delta account. Called the Spain customer service number and got someone at AirFrance who couldn't help. Help @Delta,,ESCALATE,SAFETY_SENSITIVE,HIGH,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
1844882,@Delta I did but no luck.,,ESCALATE,LOW_CONTEXT,HIGH,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
1962094,"Hey @Delta, had trouble w/app today: won’t sign in w/Sky Miles # &amp; password, won’t check in to next flight, bought WiFi that never worked.",,ESCALATE,SAFETY_SENSITIVE,MEDIUM,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
364131,@delta on overseas flight. Can’t call. Checked in But not on upgrade list for flight from DET to MCO. Conf #HIRIDT. Can you help.,,ESCALATE,VERIFICATION_REQUIRED,MEDIUM,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
373999,I just called @Delta and the 'estimated wait time is more than two hours.' Wishing the best for their teams. 🙏 Must be slammed.,"@204650 Our apologies for the long wait, Kris. Let us know if we can assist via DM. *ALA [URL] | ",AUTO_HANDLE,SAFE_INFORMATIONAL,HIGH,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
676396,@Delta there are never connecting flights available from USA to CWB via GRU on [URL] but go to GOL website and they are there. What is up?! Been over a year now with this problem.,,AUTO_HANDLE,SAFE_INFORMATIONAL,MEDIUM,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
1698190,When you get home before your flight was supposed to land. Thanks @Delta #mostontimeairline,,AUTO_HANDLE,SAFE_INFORMATIONAL,HIGH,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
958296,"@345073 OK @Delta , show us on this toy airplane where the orange man touched you.",,ESCALATE,SAFETY_SENSITIVE,HIGH,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
764255,@DELTA your app NEVER WORKS!!!!!!!!!!!,,ESCALATE,LOW_CONTEXT,HIGH,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
2699856,"@Delta @758483 Sure, thanks.",,ESCALATE,LOW_CONTEXT,MEDIUM,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
1145279,@Delta Good communication is one of the key components to customer experience.,,AUTO_HANDLE,SAFE_INFORMATIONAL,HIGH,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
1155754,Amazing showing @Delta thank you for your support#atlpride #pride #atlantapride2017 #equalrights #HumanRights [URL],,AUTO_HANDLE,SAFE_INFORMATIONAL,HIGH,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
397030,"@Delta No, our flight has landed now. It’s just late.",,AUTO_HANDLE,SAFE_INFORMATIONAL,HIGH,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
2244242,"@Delta i had a question regarding baggage information. i am of the phone since 2 PM, yet have not been able to talk to anyone. Can you please help?",,ESCALATE,HUMAN_REQUEST,HIGH,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
2115464,@Delta I sent a message. Thanks for your reply,,AUTO_HANDLE,SAFE_INFORMATIONAL,HIGH,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
2713376,@Delta FYI - got to tech support. Unlocked acct. Sent me link to reset password. I accessed acct. shld prob update ur procedures. 24 hour wait not req'd.,,ESCALATE,HUMAN_REQUEST,HIGH,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
2872915,"@Delta Wasn't me in this situation but I hope she is contacted promptly and will be following up on how you will fix this. I have flown delta many times in the past but I don't think an apology will suffice. She needs the money for rent, Christmas, etc. And I see 0 care.",,ESCALATE,POLICY_RESTRICTION,MEDIUM,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
277465,Both my flights today have had me wait on the tarmac for 30+ minutes before arriving at our gate. Well done @Delta,,AUTO_HANDLE,SAFE_INFORMATIONAL,HIGH,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
587572,@Delta I am really happy with this new satellite internet. Much better. Bravo Zulu.,,AUTO_HANDLE,SAFE_INFORMATIONAL,HIGH,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
1807621,"@Delta I earned medallion status on my flight yesterday, but no upgrade list for my flight today! What’s up with that?!?",,AUTO_HANDLE,SAFE_INFORMATIONAL,HIGH,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
29594,@Delta Hqlksb,,ESCALATE,LOW_CONTEXT,HIGH,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
2763315,@Delta How do I merge my Skymile account? I don't have a login. But it gave me a new number.,"@773013 I’d be delighted to assist. May I have both account numbers, your full name, DOB and full address? *AFC | @773013 Please use a direct message. *AFC [URL] | ",AUTO_HANDLE,SAFE_INFORMATIONAL,HIGH,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
2413309,@Delta landed almost an hour ago...still waiting for baggage....,,AUTO_HANDLE,SAFE_INFORMATIONAL,HIGH,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
888482,"@Delta likely user errors - people that can't dial correctly, but assume they're right",,AUTO_HANDLE,SAFE_INFORMATIONAL,HIGH,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
1344838,@Delta is there a way to get a refund for Gogo wifi when it wasn't working on the flight?,,AUTO_HANDLE,SAFE_INFORMATIONAL,HIGH,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
721505,Back in Indy waiting on golf bags. @Delta left in OKC o well we won't need for awhile. #offseason [URL],,AUTO_HANDLE,SAFE_INFORMATIONAL,HIGH,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
2244044,@Delta I’ve messaged you,,ESCALATE,HUMAN_REQUEST,MEDIUM,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
2335592,On my way back from @40710 Board meetings in Kansas City. Great meetings with a great team. Great trip back on @Delta,,AUTO_HANDLE,SAFE_INFORMATIONAL,HIGH,Independent LLM annotation,LLM_ASSISTED_INDEPENDENT_ANNOTATION
