golden_id,conversation_id,customer_message_id,customer_text,context,rule_suggested_intent,human_final_intent,primary_intent,secondary_intent,is_multi_intent,annotation_confidence,label_changed,annotator_notes
G0001,266552,266552,"Shout out to @Delta for Flight DL445 from Fiumicino. Best. Crew. Ever!! Thanks Pam, Susan, Cheryl &amp; Gil for a great ending to our trip!",,FLIGHT_STATUS_OR_DELAY,COMPLAINT_OR_FEEDBACK,COMPLAINT_OR_FEEDBACK,,false,HIGH,true,"CHANGED from FLIGHT_STATUS_OR_DELAY. Shout out praising flight crew on completed DL445; flight number was only context for praise, not a status request. COMPLAINT_OR_FEEDBACK (positive)."
G0002,573255,573255,@Delta Hello. How can I buy seats with extra room when buying a ticket? I had to cancel a reservation because these seats were only available during check in. Even when I try ‘upgrade’ it won’t allow me to purchase the seats. Btw I have Delta membership,,CANCEL_OR_CHANGE_FLIGHT,SCHEDULE_OR_BOOKING_INQUIRY,SCHEDULE_OR_BOOKING_INQUIRY,,false,HIGH,true,CHANGED from CANCEL_OR_CHANGE_FLIGHT. Cancellation was past background; current active question is how to purchase extra legroom seats when booking. SCHEDULE_OR_BOOKING_INQUIRY.
G0003,1160779,1160779,Hey @Delta  we r on 0781 and they just informed us about a 2 hr delay and we r just on the runway. Any chance u could order us some pizza?,,FLIGHT_STATUS_OR_DELAY,FLIGHT_STATUS_OR_DELAY,FLIGHT_STATUS_OR_DELAY,,false,HIGH,false,Confirmed. Passenger on flight 0781 on runway reporting 2hr delay. FLIGHT_STATUS_OR_DELAY.
G0004,263480,263480,"✅1h13m wait for cust service line
✅Only 1 agent available for check in (they were ""at lunch"")
✅Broken Online check in

Just @Delta things",,CHECKIN_OR_BOARDING,CHECKIN_OR_BOARDING,CHECKIN_OR_BOARDING,COMPLAINT_OR_FEEDBACK,true,HIGH,false,"Confirmed. Reports broken online check-in and single agent at check-in counter. Primary=CHECKIN_OR_BOARDING, secondary=COMPLAINT_OR_FEEDBACK."
G0005,1358379,1358379,@Delta-is this true that it is against company policy to sing National anthem on a plane when one of our fallen heroes is be taken off?,,COMPLAINT_OR_FEEDBACK,COMPLAINT_OR_FEEDBACK,COMPLAINT_OR_FEEDBACK,,false,HIGH,false,Confirmed. Grievance inquiry about company policy regarding singing National Anthem on plane. COMPLAINT_OR_FEEDBACK.
G0006,904364,904364,THANK YOU @DELTA FOR ALWAYS EXCEEDING MY EXPECTATIONS. IVE BEEN ON OVER TEN FLIGHTS IN THE PAST FEW MONTHS WITH YOU. KEEP IT UP!,,COMPLAINT_OR_FEEDBACK,COMPLAINT_OR_FEEDBACK,COMPLAINT_OR_FEEDBACK,,false,HIGH,false,Confirmed. All-caps praise expressing gratitude across 10+ flights. COMPLAINT_OR_FEEDBACK (positive).
G0007,2926875,2926875,"@Delta in the most non aggressive way possible. “Departs at 5:40” when boarding ends 15 minutes prior, is a relatively misleading piece of information. The level of user education that you’ve come to assume may be contributing to unnecessary confusion? #repswereawesome https://t.co/nDqeTe7onO",,FLIGHT_STATUS_OR_DELAY,COMPLAINT_OR_FEEDBACK,COMPLAINT_OR_FEEDBACK,CHECKIN_OR_BOARDING,true,HIGH,true,"CHANGED from FLIGHT_STATUS_OR_DELAY. Customer critiquing misleading departure communication vs boarding cut-off time. Primary=COMPLAINT_OR_FEEDBACK, secondary=CHECKIN_OR_BOARDING."
G0008,2347175,2347174,@Delta Bought a direct flight through another airline for $75...something seems wrong here.,,PAYMENT_OR_CHARGE_DISPUTE,SCHEDULE_OR_BOOKING_INQUIRY,SCHEDULE_OR_BOOKING_INQUIRY,,false,MEDIUM,true,CHANGED from PAYMENT_OR_CHARGE_DISPUTE. Customer comparing flight prices across airlines ($75 direct flight elsewhere); no Delta transaction made to dispute. SCHEDULE_OR_BOOKING_INQUIRY.
G0009,1027073,1027073,"Come on @Delta you can't find someone to fuel this plane? DL5605 sitting, waiting, wishing #help #andwewait",,FLIGHT_STATUS_OR_DELAY,FLIGHT_STATUS_OR_DELAY,FLIGHT_STATUS_OR_DELAY,,false,HIGH,false,Confirmed. DL5605 delayed on ground waiting for fuel. FLIGHT_STATUS_OR_DELAY.
G0010,233208,233208,@Delta we had massive delays with our flights DL0117+DL1133 and DL8553+DL8652. Where can I ask for a refund?,,REFUND_OR_COMPENSATION,REFUND_OR_COMPENSATION,REFUND_OR_COMPENSATION,FLIGHT_STATUS_OR_DELAY,true,HIGH,false,"Confirmed. Customer explicitly asking where to request refund following massive delays across four flights. Primary=REFUND_OR_COMPENSATION, secondary=FLIGHT_STATUS_OR_DELAY."
